lat,lon,size,label
59.932373,21.529019,13,"Pargas, Finland Proper"
59.96577834539474,30.220615236842107,304,"Krestovskiy ostrov, Petrograd"
66.7878075,22.7125902,10,"Unknown, Norrbottens Län"
60.486205674418606,22.74813411627907,43,"Paimio, Finland Proper"
64.13697720779221,28.26687527272728,231,"Jääh, Kainuun maakunta"
68.376873125,22.86688164285714,56,"Kuttanen, Lapin lääni"
64.93389175,20.61555889285714,28,"nan, Västerbottens Län"
66.98045725806452,28.989269725806444,62,"Kelloselkä, Lapin lääni"
64.12174893706293,29.554716629370628,143,"Kuhmo, Kainuun maakunta"
60.90099186956522,27.302549217391302,23,"Kouvola, Kymenlaakso"
62.34614075,28.74027432142857,56,"nan, Etelä-Savon maakunta"
69.27678753333333,22.492857,15,"Soattefielbma, Finnmark"
66.7205188,26.480282733333333,30,"Rovaniemi, Lapin maakunta"
62.264017315789474,27.182978315789477,19,"Pieksämäki, Southern Savonia"
61.6840536981132,23.824398018867925,53,"Tampere, Tampere"
69.05599773988439,20.564217757225435,173,"Unknown, Norrbottens Län"
62.09355977142857,22.110167942857142,35,"Isojoki, South Ostrobothnia"
69.44136294594595,20.96294324324324,37,"Kåfjorddalen, Troms Fylke"
61.681202978056426,26.457286579937303,319,"Joutsa, Central Finland"
64.30727744,25.83222816,25,"Sipola, Pohjois-pohjanmaan maakunta"
62.444989319248826,25.940942328638496,213,"Laukaa, Central Finland"
64.35663966315789,28.128455936842105,95,"Kontiomäki, Kainuun maakunta"
62.416084733333335,30.117791933333333,30,"Tohmajärvi, North Karelia"
65.67944448484849,27.550158454545453,66,"Pudasjärvi, Pohjois-pohjanmaan maakunta"
60.279173288461536,22.319054798076923,104,"Pargas, Finland Proper"
61.45020625,27.567310375,16,"Mikkeli, Southern Savonia"
61.13814242253522,25.678941169014085,71,"Vesivehmaa lentokenttä, Päijat-Hämeen maakunta"
62.07783431034483,29.679241931034483,29,"Kitee, North Karelia"
64.78852251219512,23.61768831707317,41,"Raahe, North Ostrobothnia"
63.18517494339623,29.446931188679244,53,"Nunnanlahti, Itä-Suomen lääni"
61.16720307843137,26.84767156862745,51,"Kouvola, Kymenlaakso"
69.4107012,30.22934276363636,55,"Nikel', Murmansk Oblast"
63.31337907692308,28.738067846153847,13,"nan, Itä-Suomen lääni"
64.3900315263158,20.694523842105266,19,"Inre Ultervattnet, Västerbottens Län"
60.779154,23.617914294117647,17,"Tammela, Kanta-Hame"
64.93037505208333,20.9337011875,96,"Södra Drängsmark, Västerbottens Län"
66.02281711111111,29.856734555555555,9,"Särkiluoma, Pohjois-pohjanmaan maakunta"
60.20980141666666,29.680782597222223,72,"Zelenogorsk, Petrograd"
67.78719770588235,26.35250405882353,17,"Sodankylä, Lapin maakunta"
68.87823745774648,28.420985443661973,142,"nan, Lapin maakunta"
63.65440754081633,23.509716714285712,98,"Gåsjärv, Länsi-Suomen lääni"
63.18886249350649,21.458728727272728,77,"Alskat, Pohjanmaan maakunta"
63.255156846153845,24.47869784615385,13,"Perho, Länsi-Suomen lääni"
